,Method,Best_MSE,Time_s,Evaluations,Params
0,GridSearch,1.105898198125853e-05,1437.2848210334778,20,"(np.float64(0.0), np.int64(152))"
1,Serial BO,-0.32885312819555695,1750.9913651943207,30,
2,VPBO,-0.3680926064832908,1951.452802658081,150,
