threshold,hidden,target,MRE,k
0.0,200,0,0.1620691481730778,52
0.0,200,1,0.05806003743709826,52
0.0,200,2,0.23412021376599432,52
0.0,200,3,0.004071171282260588,52
0.1,10,0,0.17842571321093012,30
0.1,10,1,0.46139203354532043,34
0.1,10,2,0.20050865647431473,30
0.1,10,3,0.004257173490915069,23
0.1,20,0,0.23234002964794603,30
0.1,20,1,0.16430341954196262,34
0.1,20,2,0.6814227591286126,30
0.1,20,3,0.008475767880222496,23
0.1,30,0,0.36492149686149383,30
0.1,30,1,0.08566065127565302,34
0.1,30,2,0.2997365162582455,30
0.1,30,3,0.0033841806230724756,23
0.1,40,0,0.20605846040423867,30
0.1,40,1,0.09330151335138581,34
0.1,40,2,0.2965716491977711,30
0.1,40,3,0.010809176340490438,23
0.1,50,0,0.24321771650728302,30
0.1,50,1,0.04688557123108393,34
0.1,50,2,0.9036667043405708,30
0.1,50,3,0.004316833331540046,23
0.1,60,0,0.3144358704347745,30
0.1,60,1,0.2869572203785136,34
0.1,60,2,0.5128501406015123,30
0.1,60,3,0.004697697669226725,23
0.1,70,0,0.23516971173482037,30
0.1,70,1,0.04859327657989754,34
0.1,70,2,0.7348369389901172,30
0.1,70,3,0.0042793985945511195,23
0.1,80,0,0.4350895371013062,30
0.1,80,1,0.5530815667941293,34
0.1,80,2,0.788099459138882,30
0.1,80,3,0.005496779206190571,23
0.1,90,0,0.26648908116959125,30
0.1,90,1,0.22931303711497425,34
0.1,90,2,0.44954744795514356,30
0.1,90,3,0.0034789348434172414,23
0.1,100,0,0.11321305407768426,30
0.1,100,1,0.12774021499444174,34
0.1,100,2,0.7164442697894992,30
0.1,100,3,0.005799731867992528,23
0.1,110,0,0.208963259223516,30
0.1,110,1,0.2335565236179037,34
0.1,110,2,0.2825261590270769,30
0.1,110,3,0.008081098126229327,23
0.1,120,0,0.2713192401556141,30
0.1,120,1,0.06962562164019806,34
0.1,120,2,0.3170041825878598,30
0.1,120,3,0.006104549186693315,23
0.1,130,0,0.23425966499974357,30
0.1,130,1,0.0631214552989668,34
0.1,130,2,1.2358003294608717,30
0.1,130,3,0.009404789597769097,23
0.1,140,0,0.1645569716354841,30
0.1,140,1,0.12805585811871387,34
0.1,140,2,0.7029218503932217,30
0.1,140,3,0.005185997837475769,23
0.1,150,0,0.44126252741805067,30
0.1,150,1,0.22113919570846924,34
0.1,150,2,0.5767087244640389,30
0.1,150,3,0.006290354646545336,23
0.1,160,0,0.26206040969123745,30
0.1,160,1,0.11471141612875872,34
0.1,160,2,0.529897367578902,30
0.1,160,3,0.008585982362241782,23
0.1,170,0,0.32622842831057175,30
0.1,170,1,0.16937416601157104,34
0.1,170,2,0.45641068362976256,30
0.1,170,3,0.020784500571435716,23
0.1,180,0,0.16731063596981174,30
0.1,180,1,0.16414062310839983,34
0.1,180,2,0.29863635578336534,30
0.1,180,3,0.01788977435611751,23
0.1,190,0,0.17995253931969077,30
0.1,190,1,0.2503061387174613,34
0.1,190,2,0.3207914256963659,30
0.1,190,3,0.009079813346321219,23
0.1,200,0,0.17426320957261715,30
0.1,200,1,0.07344031303056205,34
0.1,200,2,0.295963137628542,30
0.1,200,3,0.011755054523360899,23
0.2,10,0,0.46268194465431983,14
0.2,10,1,0.1133170672257166,27
0.2,10,2,0.3429474750873606,14
0.2,10,3,0.0270944710270049,5
0.2,20,0,0.22479169384127196,14
0.2,20,1,0.3257139254444871,27
0.2,20,2,0.648380570582999,14
0.2,20,3,0.015605713361244717,5
0.2,30,0,0.3271724694447664,14
0.2,30,1,0.08588348537078892,27
0.2,30,2,0.3477651128080145,14
0.2,30,3,0.017327745003172645,5
0.2,40,0,0.30833979962732916,14
0.2,40,1,0.11457928911834675,27
0.2,40,2,0.34848903871691606,14
0.2,40,3,0.03314528932816626,5
0.2,50,0,0.33714865391588644,14
0.2,50,1,0.17302931571936475,27
0.2,50,2,0.20335678339875976,14
0.2,50,3,0.035411425561407216,5
0.2,60,0,0.2561837142429473,14
0.2,60,1,0.08498259532501412,27
0.2,60,2,0.42292170367436616,14
